Source Language,Target Language,Genetic Distance,Geographic Distance,Syntactic Distance,Inventory Distance,Featural Distance
sinh1246,stan1293,[0.9047],[0.3273],[0.5959],[0.4991],[0.5021]
stan1293,cebu1242,[1.0],[0.4046],[0.5873],[0.5371],[0.5862]
stan1293,amha1245,[1.0],[0.2286],[0.5522],[0.492],[0.5314]
stan1293,nucl1235,[0.8767],[0.1503],[0.5511],[0.5064],[0.5477]
stan1293,kirg1245,[1.0],[0.2167],[0.6325],[0.5503],[0.5458]
stan1293,haus1257,[1.0],[0.1885],[0.4425],[0.5337],[0.4915]
amha1245,stan1293,[1.0],[0.2286],[0.5522],[0.492],[0.5314]
taga1270,stan1293,[1.0],[0.3864],[0.6127],[0.461],[0.5641]
stan1293,nucl1417,[1.0],[0.2142],[0.5416],[0.4772],[0.5393]
stan1293,cent1989,[1.0],[0.3638],[0.5854],[0.5101],[0.5802]
stan1293,ewee1241,[1.0],[0.2049],[0.5818],[0.5249],[0.5579]
stan1293,sinh1246,[0.9047],[0.3273],[0.5959],[0.4991],[0.5021]
stan1293,tami1289,[1.0],[0.3158],[0.6485],[0.5014],[0.584]
egyp1253,stan1293,[1.0],[0.1433],[0.5977],[0.4688],[0.5496]
stan1293,plat1254,[1.0],[0.3437],[0.6417],[0.5093],[0.5753]
stan1293,mara1378,[0.9131],[0.2901],[0.6033],[0.4513],[0.5601]
stan1293,xhos1239,[1.0],[0.3573],[0.5981],[0.5032],[0.5819]
zulu1248,stan1293,[1.0],[0.3423],[0.6516],[0.5582],[0.6044]
mara1378,stan1293,[0.9131],[0.2901],[0.6033],[0.4513],[0.5601]
stan1293,panj1256,[0.9131],[0.2534],[0.5725],[0.4336],[0.5414]
nucl1235,stan1293,[0.8767],[0.1503],[0.5511],[0.5064],[0.5477]
xhos1239,stan1293,[1.0],[0.3573],[0.5981],[0.5032],[0.5819]
nucl1305,stan1293,[1.0],[0.3013],[0.6428],[0.4738],[0.5647]
stan1293,egyp1253,[1.0],[0.1433],[0.5977],[0.4688],[0.5496]
nucl1310,stan1293,[1.0],[0.319],[0.6714],[0.3323],[0.5491]
java1254,stan1293,[1.0],[0.4052],[0.5354],[0.4438],[0.5198]
stan1293,nucl1310,[1.0],[0.319],[0.6714],[0.3323],[0.5491]
tami1289,stan1293,[1.0],[0.3158],[0.6485],[0.5014],[0.584]
stan1293,nucl1302,[1.0],[0.154],[0.5632],[0.5667],[0.5816]
stan1293,yoru1245,[1.0],[0.2026],[0.5903],[0.5093],[0.5428]
stan1293,taga1270,[1.0],[0.3864],[0.6127],[0.461],[0.5641]
stan1293,indo1316,[1.0],[0.4185],[0.5122],[0.4546],[0.4988]
afri1274,stan1293,[0.6638],[0.3303],[0.5164],[0.5144],[0.5212]
indo1316,stan1293,[1.0],[0.4185],[0.5122],[0.4546],[0.4988]
soma1255,stan1293,[1.0],[0.2629],[0.6176],[0.4645],[0.5385]
yoru1245,stan1293,[1.0],[0.2026],[0.5903],[0.5093],[0.5428]
stan1293,guja1252,[0.9196],[0.2639],[0.5456],[0.4753],[0.4989]
nucl1347,stan1293,[1.0],[0.1752],[0.4921],[0.4731],[0.5104]
stan1293,nucl1305,[1.0],[0.3013],[0.6428],[0.4738],[0.5647]
guja1252,stan1293,[0.9196],[0.2639],[0.5456],[0.4753],[0.4989]
stan1293,afri1274,[0.6638],[0.3303],[0.5164],[0.5144],[0.5212]
stan1293,zulu1248,[1.0],[0.3423],[0.6516],[0.5582],[0.6044]
stan1293,bash1264,[1.0],[0.15],[0.645],[0.4286],[0.5392]
ewee1241,stan1293,[1.0],[0.2049],[0.5818],[0.5249],[0.5579]
cent1989,stan1293,[1.0],[0.3638],[0.5854],[0.5101],[0.5802]
bash1264,stan1293,[1.0],[0.15],[0.645],[0.4286],[0.5392]
stan1293,java1254,[1.0],[0.4052],[0.5354],[0.4438],[0.5198]
stan1293,soma1255,[1.0],[0.2629],[0.6176],[0.4645],[0.5385]
plat1254,stan1293,[1.0],[0.3437],[0.6417],[0.5093],[0.5753]
nucl1302,stan1293,[1.0],[0.154],[0.5632],[0.5667],[0.5816]
haus1257,stan1293,[1.0],[0.1885],[0.4425],[0.5337],[0.4915]
panj1256,stan1293,[0.9131],[0.2534],[0.5725],[0.4336],[0.5414]
cebu1242,stan1293,[1.0],[0.4046],[0.5873],[0.5371],[0.5862]
stan1293,maor1246,[1.0],[0.5179],[0.5846],[0.6198],[0.6239]
nucl1417,stan1293,[1.0],[0.2142],[0.5416],[0.4772],[0.5393]
stan1293,shon1251,[1.0],[0.3141],[0.6596],[0.5348],[0.6282]
kirg1245,stan1293,[1.0],[0.2167],[0.6325],[0.5503],[0.5458]
stan1293,nucl1347,[1.0],[0.1752],[0.4921],[0.4731],[0.5104]